No.,Time,Source,Destination,Protocol,Length,Info,Label
1391,119.530345,172.24.10.210,172.24.10.1,DNP 3.0,165,Response,0
1443,124.531082,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
1444,124.531278,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
1496,129.475356,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
1501,129.4854,172.24.10.210,172.24.10.1,DNP 3.0,165,Response,0
1556,134.481165,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
1557,134.481379,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
1612,139.530389,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
1616,139.783905,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
1618,139.789008,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
1625,139.795258,172.24.10.210,172.24.10.1,DNP 3.0,165,Response,0
1677,144.831386,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
1678,144.831578,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
1735,149.881547,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
1737,149.910003,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
1739,149.915205,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
1746,149.920291,172.24.10.210,172.24.10.1,DNP 3.0,165,Response,0
1798,154.931352,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
1799,154.931552,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
1853,159.757922,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
1858,159.767883,172.24.10.210,172.24.10.1,DNP 3.0,165,Response,0
